b30_t10,b30_t3,lp_t10,lp_t3,wLEX_t10,wLEX_t3,wSMA_t3,wSMA_t10,5o_t10,5o_t3
83,55,71,42,80,52,51,82,82,51
82,53,72,45,81,53,54,85,125,69
80,54,72,44,84,54,55,84,78,51
80,54,71,45,80,52,55,84,80,54
79,58,72,45,83,54,52,82,83,52
80,50,72,40,80,53,54,84,78,48
84,55,72,44,80,54,54,82,121,66
82,57,76,46,85,55,52,82,76,52
81,54,75,47,82,53,53,83,81,50
79,55,72,48,81,54,54,83,122,63
79,49,70,44,85,55,54,84,73,46
84,54,73,45,80,54,52,82,122,69
76,52,68,43,82,54,52,82,82,58
80,54,70,44,81,56,55,84,82,55
79,54,75,41,78,50,54,83,74,50
82,52,76,44,82,55,54,82,123,68
79,53,73,45,79,51,55,84,121,63
76,52,71,46,83,53,55,86,76,49
78,55,73,44,84,56,52,83,125,68
77,46,74,43,81,51,52,80,77,53
82,56,76,42,83,55,56,84,124,68
81,51,68,40,82,54,57,85,123,64
78,51,79,44,82,53,54,80,84,55
78,55,75,44,83,54,53,82,123,73
83,56,71,42,80,54,55,84,76,48
85,59,71,43,84,55,55,81,84,53
83,51,77,44,81,53,51,83,123,70
77,51,75,41,82,53,55,82,80,55
82,55,74,44,82,55,52,82,125,68
81,50,71,43,82,54,56,84,123,69
85,55,70,45,79,53,57,85,78,53
79,59,73,43,84,54,52,79,81,54
83,55,73,47,82,53,53,80,80,52
80,58,73,43,82,53,56,82,86,51
83,54,74,45,77,50,57,83,78,50
79,52,75,42,83,56,55,80,75,56
80,55,73,44,84,54,54,82,121,66
81,53,75,45,78,52,52,81,84,56
81,53,70,43,82,55,52,81,79,53
77,53,75,44,79,53,56,84,123,62
78,54,73,45,82,56,54,79,77,57
79,54,76,39,83,55,55,87,78,51
79,51,70,46,82,55,56,84,82,53
77,52,73,44,83,55,55,83,84,57
80,54,76,43,80,53,57,84,80,51
82,54,69,44,81,54,50,81,85,56
80,54,72,41,83,54,54,83,119,69
81,54,76,43,84,54,54,81,79,50
81,52,71,43,82,54,52,81,81,52
80,54,71,44,81,52,53,84,126,69
79,49,70,44,81,51,53,82,81,52
81,54,71,41,81,53,53,81,120,70
76,52,71,43,83,55,53,81,81,48
83,51,71,44,83,54,51,82,87,55
78,51,72,47,78,49,50,79,77,50
82,50,73,42,82,55,54,84,123,69
78,52,70,43,83,55,56,82,79,51
77,50,72,47,80,54,52,81,120,68
84,54,77,44,80,52,57,85,78,51
78,56,73,45,81,53,52,82,78,51
82,56,72,43,80,52,56,82,121,68
84,54,74,42,81,53,54,84,78,50
83,55,69,44,78,50,53,80,77,53
82,54,77,43,78,50,52,82,77,50
84,58,78,41,79,51,55,84,122,67
81,51,72,42,78,54,54,82,121,67
79,49,72,41,83,55,57,84,81,53
83,56,69,44,83,54,52,80,121,67
77,52,80,46,80,52,57,85,75,51
79,56,71,44,82,54,54,81,119,68
80,53,72,44,82,53,56,83,80,52
80,50,71,44,78,47,54,82,83,56
81,55,71,46,76,50,50,81,77,53
78,54,72,46,85,56,52,82,78,55
81,51,74,47,78,52,54,81,83,53
76,54,71,46,78,51,53,83,80,52
84,54,74,42,82,53,52,80,120,67
80,52,72,42,78,52,51,82,73,48
79,52,70,44,79,52,52,80,75,53
82,51,67,41,77,50,54,81,78,53
82,54,72,43,83,57,54,81,77,54
79,52,70,48,81,53,51,80,77,53
79,53,78,42,82,54,53,82,78,49
76,52,67,41,80,52,52,79,123,67
81,51,69,42,80,53,53,79,74,56
85,55,72,40,80,55,55,78,122,67
80,51,75,43,77,50,54,83,118,71
78,56,73,42,79,52,52,81,82,52
81,54,73,41,77,49,55,83,120,62
78,49,68,37,82,55,54,83,79,53
80,52,81,47,83,55,53,83,78,49
80,53,69,43,81,56,54,82,124,66
83,55,75,41,78,53,52,81,79,56
81,50,69,47,79,51,50,77,83,51
79,50,72,47,79,54,53,80,122,65
80,53,73,44,84,56,48,79,82,54
76,49,75,42,82,52,51,81,82,51
83,53,76,44,82,52,53,82,119,68
78,49,69,40,84,56,54,82,82,54
79,49,71,44,78,51,50,81,77,54
81,55,71,44,81,54,53,81,78,56
79,52,72,44,78,50,55,82,79,55
81,51,75,45,77,49,56,82,79,53
78,52,65,42,82,53,55,81,81,55
80,49,76,44,77,52,50,80,125,68
76,50,75,44,77,50,49,80,83,57
80,50,73,47,78,50,55,85,123,70
85,55,78,45,82,54,56,84,80,49
84,54,73,46,84,55,52,83,75,52
85,54,72,46,84,55,54,79,81,55
84,56,77,46,84,55,53,80,81,51
83,55,75,45,82,53,51,81,121,63
82,51,72,45,84,55,52,81,83,59
84,57,77,44,84,55,51,79,86,50
81,53,73,46,84,55,52,82,85,50
80,51,77,44,84,55,51,79,125,71
85,54,75,45,84,55,53,79,83,53
86,55,75,44,84,55,51,79,126,70
85,55,74,44,83,53,55,82,125,74
83,54,76,48,84,55,54,82,80,54
81,57,75,44,84,55,55,82,126,68
84,55,76,43,83,55,53,79,122,71
82,53,78,45,84,55,51,78,82,57
81,54,73,45,83,55,53,82,124,70
80,53,74,43,81,53,52,80,124,70
77,51,73,46,83,55,51,80,84,56
83,54,73,46,83,54,52,78,81,53
86,54,76,44,84,55,53,80,83,51
83,52,75,42,85,55,55,81,81,55
83,55,77,44,83,54,50,76,123,66
80,51,76,46,83,54,54,81,84,58
79,55,76,46,82,54,52,81,127,70
84,55,78,44,82,53,53,80,125,69
82,56,77,45,84,55,56,83,80,54
85,54,71,45,84,55,54,79,124,69
82,53,73,46,81,52,55,83,84,56
80,54,77,46,84,55,53,80,124,68
84,54,74,48,82,55,52,79,126,73
81,58,73,45,85,56,49,80,79,51
82,58,76,45,85,56,52,82,81,51
83,56,76,45,82,53,51,78,84,53
82,57,76,44,84,55,55,84,127,70
84,50,73,43,82,53,53,81,80,52
83,53,73,47,84,56,48,78,125,68
84,53,76,45,81,53,52,80,82,56
83,51,74,46,82,54,50,77,126,70
82,53,74,45,83,54,53,82,84,57
86,53,75,46,81,53,51,81,81,49
83,56,76,47,84,54,55,82,126,68
85,54,75,43,82,55,48,80,84,56
80,55,74,43,82,53,51,78,124,68
84,58,74,48,82,54,53,82,81,56
80,53,76,46,83,55,55,83,124,68
85,58,74,43,84,56,54,78,84,54
81,57,76,45,83,56,55,84,124,71
80,52,75,48,81,53,55,84,77,53
81,56,74,44,83,53,55,84,125,70
83,55,76,44,83,55,55,84,125,68
84,59,74,42,82,54,55,84,88,54
81,53,78,46,84,54,55,84,125,71
85,55,76,44,83,55,55,84,78,52
81,53,73,45,83,54,55,84,125,70
81,55,76,47,80,51,55,84,86,54
80,52,73,47,81,54,55,84,126,70
84,54,73,45,80,53,55,84,126,71
79,49,76,45,81,54,55,84,77,57
88,55,77,45,83,55,55,84,127,67
81,52,75,44,82,53,56,85,124,70
83,55,73,41,82,53,55,84,83,52
82,57,74,44,83,55,56,84,125,67
81,52,72,43,83,55,55,84,125,65
83,55,75,47,81,52,55,84,81,54
84,53,73,45,81,54,55,83,81,57
80,55,77,44,83,55,54,83,82,55
84,56,74,45,82,54,54,84,123,67
80,54,72,46,83,55,56,85,80,54
79,56,71,43,82,55,55,84,126,68
87,55,76,45,82,53,55,84,78,55
80,54,76,43,81,53,55,84,123,67
84,53,76,45,83,54,56,83,77,51
82,52,73,41,84,56,55,84,84,57
80,55,74,47,82,53,56,84,85,55
85,50,74,45,81,53,54,83,126,65
82,56,73,44,82,53,54,83,78,50
83,53,76,43,83,55,57,86,125,73
83,58,74,45,84,55,55,84,83,51
80,53,71,43,81,52,55,84,126,68
87,57,71,45,82,54,54,84,127,70
81,53,75,43,82,53,56,85,83,51
82,51,76,44,83,54,56,84,124,67
82,54,76,46,83,54,54,83,78,55
82,53,74,44,81,55,52,82,125,64
81,53,74,45,82,55,55,84,128,69
83,53,75,44,79,54,55,82,85,54
79,52,74,41,81,53,56,86,124,69
82,50,73,48,85,57,56,83,125,66
92,56,75,44,85,57,56,84,79,54
80,54,74,41,81,54,53,83,124,69
82,54,79,47,82,54,55,81,125,67
85,56,73,45,84,55,55,83,76,52
82,54,74,45,81,54,53,84,124,70
79,55,75,47,81,54,54,81,86,54
81,53,73,44,83,55,55,84,80,54
85,54,74,45,83,55,55,85,127,71
84,57,72,43,80,51,55,82,84,54
79,54,76,49,80,52,53,83,125,67
80,51,73,45,82,54,55,84,82,53
82,53,70,42,81,54,52,81,85,55
85,59,73,43,82,55,55,84,124,68
83,55,73,43,84,53,59,88,82,55
84,54,71,44,85,57,56,83,82,54
90,56,71,45,84,57,53,82,81,57
84,53,74,41,81,54,54,82,125,70
85,53,72,46,81,53,55,85,81,52
82,57,74,44,83,53,55,83,123,69
82,54,73,42,82,55,53,83,81,55
82,57,74,43,81,54,54,83,125,66
84,55,75,41,80,54,55,83,82,54
85,54,77,45,81,54,54,82,123,68
82,54,75,47,83,55,54,82,123,64
79,52,74,46,81,55,56,84,80,54
81,50,75,44,81,53,54,83,125,68
80,53,70,45,82,52,56,85,79,53
84,52,75,44,84,55,55,83,78,54
84,54,77,46,82,54,55,84,124,64
83,55,76,46,83,55,55,82,122,68
78,52,73,45,83,54,56,84,82,53
81,57,76,47,79,52,55,84,124,65
88,53,76,43,82,53,55,83,84,58
83,55,76,43,85,55,55,83,125,69
82,55,73,47,81,52,53,83,84,54
82,52,72,44,82,53,52,81,86,54
84,54,77,44,80,51,54,81,79,52
84,52,78,45,82,54,54,83,124,69
84,53,72,43,84,56,54,81,81,51
83,54,71,41,84,54,55,85,124,67
79,52,71,46,83,53,54,83,78,54
84,54,74,41,81,53,54,85,83,54
84,52,77,43,80,52,52,82,76,55
79,55,79,42,82,56,55,84,124,69
85,56,73,43,81,53,55,84,125,73
81,50,73,45,83,54,53,80,84,52
81,55,72,42,83,55,55,84,80,49
79,50,78,46,83,55,53,83,84,56
85,52,73,48,82,54,53,81,80,51
80,55,77,44,82,53,55,80,83,53
84,55,74,44,83,55,55,84,125,67
81,52,71,44,80,54,56,85,82,51
83,51,75,42,80,52,53,80,123,67
84,53,73,44,82,53,56,84,125,65
81,57,76,47,84,58,54,81,88,56
81,52,77,45,82,55,54,81,124,68
83,53,74,42,84,54,56,84,79,54
83,56,76,44,82,55,54,81,80,51
86,55,76,45,83,53,54,85,84,54
85,54,75,45,78,53,55,83,126,67
79,56,76,49,81,54,56,84,81,52
83,53,70,43,79,51,56,85,122,71
81,53,74,45,82,54,58,85,77,51
78,52,72,46,82,53,51,82,79,53
84,56,77,44,83,55,55,83,82,54
83,54,74,46,81,53,57,85,124,72
81,51,73,43,81,52,57,86,81,54
81,51,73,40,84,54,55,86,124,69
84,54,76,42,80,50,53,81,87,52
79,54,72,43,82,55,55,83,124,66
83,57,72,44,81,53,55,84,81,51
88,53,79,45,76,50,55,85,125,71
81,49,71,45,77,50,56,84,80,48
77,52,71,42,83,55,52,81,125,66
85,55,72,48,79,54,55,83,82,55
80,56,75,47,82,55,55,84,78,50
75,50,71,45,81,53,53,83,126,69
81,52,72,45,82,53,54,83,84,57
79,52,69,42,78,52,54,81,83,51
79,56,75,45,79,52,52,83,123,67
79,50,72,42,80,51,54,83,81,52
83,53,72,44,81,52,52,83,122,70
84,56,72,43,80,57,53,82,81,53
86,53,75,47,78,49,56,84,81,51
81,56,74,44,78,52,55,83,123,68
77,48,75,45,83,55,51,79,125,69
80,51,71,45,82,58,54,83,83,54
80,54,75,46,80,53,54,82,123,63
77,54,73,46,82,52,53,83,81,54
82,53,72,43,84,55,53,79,125,67
84,56,74,44,81,54,55,83,83,54
83,51,70,45,80,53,55,82,125,69
85,53,74,43,80,53,56,87,80,55
86,55,74,43,79,54,54,83,83,54
80,57,73,41,82,55,55,82,124,66
77,52,75,46,82,54,55,84,82,57
80,57,75,46,81,54,56,84,86,51
82,50,72,45,81,55,56,85,126,64
81,55,69,42,80,49,56,85,78,54
86,51,75,45,81,53,53,81,80,56
85,58,72,41,82,56,50,80,76,53
79,53,73,43,82,54,52,80,126,66
81,53,73,41,82,53,53,81,81,55
78,53,72,42,80,51,55,83,122,70
82,55,71,45,78,47,51,82,81,53
79,54,72,44,76,51,56,86,124,70
80,55,78,44,80,53,55,85,125,71
76,51,72,43,76,52,54,83,77,51
83,52,73,48,78,53,55,84,80,52
80,54,73,43,82,52,54,83,123,62
83,54,78,42,80,52,55,84,126,71
77,52,75,46,79,51,55,84,79,52
81,51,75,42,77,50,54,82,123,70
81,56,73,45,82,55,54,80,79,51
83,53,70,43,78,53,53,81,123,72
82,54,72,45,79,53,53,82,82,53
84,51,75,45,80,53,57,84,77,55
81,48,72,45,79,50,52,79,86,52
84,53,74,43,81,55,54,83,121,67
82,55,72,47,81,53,54,83,84,57
79,54,72,44,79,51,53,83,81,58
80,53,74,46,81,54,53,81,127,67
89,54,75,44,78,48,54,83,81,57
84,52,76,43,73,45,54,83,122,64
81,51,76,43,82,55,54,82,123,66
82,57,73,45,77,52,55,83,81,51
80,55,75,44,81,52,53,82,78,55
84,55,74,46,80,54,52,81,125,71
81,54,74,43,79,54,53,82,77,53
81,55,71,42,78,52,50,80,84,53
83,54,72,46,80,54,51,80,80,55
81,51,73,43,77,52,51,81,125,67
77,50,72,42,80,54,50,79,82,55
80,52,74,43,79,53,54,82,125,69
78,50,74,42,82,54,54,84,89,55
81,52,72,42,84,55,55,82,123,71
80,51,78,42,84,55,52,80,77,53
86,53,76,45,84,55,57,85,123,68
82,56,78,45,84,55,56,82,83,55
77,49,77,43,84,55,56,83,124,69
78,53,79,47,84,55,53,82,83,55
85,57,73,45,84,55,51,81,81,54
84,54,73,44,84,55,55,83,85,53
81,53,73,45,84,55,53,78,125,65
85,53,71,41,84,55,58,85,82,53
86,55,73,45,85,56,56,85,83,52
83,53,71,41,84,54,52,83,122,67
83,54,74,47,83,54,52,79,88,57
82,52,76,43,82,54,56,82,82,53
78,51,74,43,84,55,51,81,84,53
83,55,73,41,83,53,55,83,82,54
79,55,70,43,83,54,57,85,123,65
82,51,74,46,84,55,52,84,78,57
81,56,76,45,84,55,55,82,124,66
82,53,74,45,82,53,54,82,80,47
87,53,71,44,83,55,50,77,85,55
76,52,73,45,82,55,49,79,84,52
83,54,75,44,83,54,55,82,124,70
81,51,75,44,85,55,54,79,126,66
86,55,74,46,83,54,54,83,81,54
80,52,72,45,82,53,52,80,82,59
81,55,71,45,82,54,51,80,121,69
81,55,71,46,82,55,50,77,78,53
86,54,74,46,83,55,52,82,122,70
79,55,74,46,83,54,52,81,86,53
83,52,72,43,83,56,54,83,81,54
73,53,76,45,82,54,54,81,122,68
83,51,71,44,83,54,51,80,122,68
78,52,72,48,82,55,51,79,81,58
82,54,73,42,82,54,53,82,122,70
81,54,73,45,83,55,51,76,122,65
79,51,73,46,83,55,53,82,77,52
77,49,75,44,84,55,55,81,80,54
82,53,74,43,81,53,54,83,75,51
79,52,72,42,82,54,51,81,81,51
82,50,71,42,83,55,52,81,125,71
91,57,76,43,79,53,56,79,83,59
84,53,75,44,83,55,53,80,81,54
80,55,75,46,82,53,55,81,124,68
80,54,72,42,84,56,52,80,84,53
79,55,74,45,80,51,54,80,125,72
79,56,70,43,81,52,52,83,77,50
78,53,71,44,80,54,55,84,76,53
77,52,73,45,85,55,55,84,123,71
79,51,76,39,81,52,52,82,84,54
85,57,70,43,84,56,51,80,81,52
80,50,73,46,83,54,53,80,123,72
81,50,73,44,83,55,50,82,79,52
81,52,72,47,85,56,52,78,77,47
85,52,73,41,82,54,49,78,85,58
81,58,73,48,81,54,54,83,126,66
80,52,73,43,80,53,55,83,81,52
80,54,74,46,84,55,53,80,126,69
78,49,71,42,82,53,52,82,81,53
84,53,74,43,85,55,57,85,122,70
79,49,74,40,82,54,56,84,79,54
83,57,74,43,83,54,50,76,84,54
83,53,74,44,83,54,51,78,124,65
81,49,74,43,84,56,53,77,82,58
83,53,72,46,82,55,49,77,79,51
84,49,69,46,83,54,50,79,79,58
82,47,71,40,83,55,49,78,79,55
83,54,71,44,83,55,53,81,82,50
79,50,75,46,84,55,52,78,82,53
84,54,75,44,81,54,52,82,124,66
84,54,74,43,82,53,54,82,81,50
81,53,75,45,84,54,53,80,76,48
79,51,76,45,82,53,50,80,82,54
83,53,71,44,83,54,54,80,80,55
82,51,76,45,80,52,54,83,124,69
82,54,77,45,82,54,52,80,83,53
81,54,74,44,81,53,45,77,125,71
78,53,68,38,81,53,51,79,85,52
81,56,69,42,83,55,55,84,83,56
76,50,69,44,82,53,55,84,123,70
82,55,74,45,83,54,55,84,76,52
84,53,70,46,80,53,55,84,82,54
83,56,73,45,83,55,56,84,82,58
86,50,74,44,83,53,55,84,124,72
84,57,74,44,81,52,55,84,80,56
79,54,71,43,80,54,56,85,80,50
82,55,78,46,82,55,55,84,125,73
78,53,75,46,80,51,55,84,78,49
77,52,74,42,84,57,55,84,78,51
79,54,75,45,83,54,55,84,124,68
79,50,77,43,83,55,55,84,82,52
81,53,69,46,83,54,55,83,78,52
82,50,72,43,83,55,55,84,81,49
80,53,74,44,83,56,56,85,79,53
75,53,73,43,83,54,56,85,120,68
76,51,74,43,81,55,55,83,82,54
84,50,72,45,85,55,55,83,80,52
79,51,75,42,85,57,55,84,79,54
88,52,70,43,82,53,54,84,122,68
81,52,74,43,83,54,55,83,77,54
74,49,75,42,83,56,54,81,76,51
81,50,71,42,82,54,54,84,85,53
73,53,72,42,82,55,55,84,122,67
83,51,69,38,81,53,55,83,74,52
78,53,71,45,83,55,54,85,80,53
78,52,72,43,83,56,56,85,79,49
78,52,71,41,82,54,55,84,87,56
81,50,68,40,83,53,54,83,81,51
85,51,72,46,83,55,55,84,122,63
81,54,76,46,82,55,54,83,80,57
84,51,73,42,79,53,55,84,82,53
81,55,76,46,82,54,56,83,121,69
79,52,73,43,84,55,55,83,75,52
77,50,72,44,81,53,56,84,124,67
81,54,76,43,83,55,56,84,79,54
84,55,70,40,82,55,52,82,79,52
85,51,71,43,81,53,55,84,81,53
73,50,74,43,80,52,54,83,78,51
81,55,73,44,81,53,55,85,84,54
78,53,73,48,81,53,56,86,78,51
78,49,73,45,82,54,56,84,85,57
80,54,69,42,82,54,56,85,77,51
82,53,77,47,80,52,53,83,122,68
79,49,75,47,80,54,55,84,80,51
84,54,74,44,81,53,54,81,124,71
76,51,77,45,81,54,55,85,83,55
84,51,76,44,79,54,55,83,120,68
83,51,75,45,78,49,56,85,75,51
78,51,73,46,82,56,56,82,81,51
78,51,72,42,81,51,54,83,121,64
78,50,70,42,83,55,53,82,77,51
81,52,72,43,80,53,59,86,122,65
81,53,69,44,81,55,57,86,81,52
84,51,70,42,82,55,52,81,124,71
75,49,70,44,80,53,56,85,84,49
82,56,78,44,83,52,57,83,81,54
81,50,76,43,82,54,54,81,76,54
87,55,76,45,80,52,52,84,123,65
86,52,75,45,82,54,55,83,75,54
82,55,72,46,77,52,55,82,75,51
79,55,75,44,82,55,55,84,83,53
82,55,77,44,85,55,54,82,123,66
81,54,73,47,80,51,55,83,80,54
81,52,75,45,81,53,56,85,78,50
83,51,76,44,79,53,55,84,80,50
88,57,74,46,81,53,54,83,121,72
83,54,74,47,79,54,55,83,81,51
84,56,75,46,79,53,54,83,121,67
87,56,75,47,83,54,55,84,80,54
81,54,77,44,82,51,55,83,121,64
85,53,72,46,78,54,56,85,124,68
81,55,73,46,80,50,56,85,77,52
85,52,76,44,79,51,54,82,125,67
87,52,76,44,80,51,55,84,80,52
83,60,76,46,83,54,53,82,123,67
79,54,75,44,81,53,57,86,82,58
85,54,76,44,80,54,53,82,76,53
84,51,75,43,83,54,56,84,80,55
85,55,76,44,82,54,55,83,81,54
79,56,75,47,81,55,55,83,81,51
80,53,78,46,82,55,56,83,78,51
81,53,70,44,82,55,54,82,81,59
81,53,73,44,81,52,53,81,78,49
82,53,76,42,81,52,54,82,122,66
83,57,76,44,79,53,55,83,82,54
81,56,73,46,79,51,53,84,79,49
85,55,75,47,82,52,52,81,77,55
85,54,78,45,82,55,55,84,125,63
79,56,74,44,79,52,54,83,83,54
83,55,74,43,82,53,53,83,126,67
84,53,77,46,79,52,53,84,81,56
85,51,75,45,83,56,55,84,121,69
79,56,75,42,78,52,53,82,125,69
80,56,74,43,81,52,57,85,81,54
81,56,74,43,79,52,55,81,82,51
78,51,72,42,83,54,57,84,125,65
83,56,74,43,78,52,55,83,79,53
85,57,74,45,79,52,54,85,79,52
83,56,78,45,82,54,57,85,123,66
88,58,74,43,83,54,54,83,85,49
80,54,77,47,82,56,53,83,83,52
81,56,76,45,80,53,55,83,81,56
81,55,76,43,78,50,54,84,86,52
79,54,79,48,77,50,55,82,122,71
84,55,74,45,79,52,54,83,81,53
81,54,77,45,85,56,51,80,78,54
81,56,72,46,77,51,55,85,87,53
84,53,71,44,81,55,54,86,82,56
83,56,74,48,80,51,53,82,83,52
80,55,76,45,83,53,55,84,77,49
85,53,76,46,85,59,55,84,85,57
75,53,71,45,79,54,54,82,76,54
79,55,74,45,82,54,55,84,75,50
84,55,72,45,79,52,57,86,81,55
82,54,77,46,81,53,55,82,123,71
82,54,71,44,81,53,52,82,81,53
84,54,72,45,81,51,55,83,82,53
79,54,74,42,82,54,53,83,77,52
82,56,73,44,81,55,53,83,77,51
83,52,75,45,79,51,54,84,80,55
82,55,74,45,79,54,56,84,121,70
84,54,74,44,77,51,53,81,79,55
83,56,77,43,78,50,54,85,83,56
80,53,73,46,78,52,54,85,73,49
83,53,75,45,81,52,55,82,123,69
81,51,75,46,78,51,55,84,82,55
82,55,72,44,78,51,51,81,82,54
83,52,75,45,78,52,54,82,119,60
83,54,77,44,82,56,54,83,125,69
84,54,74,46,81,54,55,85,85,50
79,51,73,47,81,51,53,80,75,50
82,55,78,46,81,54,55,84,83,55
81,52,75,46,79,53,52,80,85,58
79,52,75,43,80,53,51,81,81,53
82,55,76,44,81,54,55,82,76,52
83,54,72,45,81,53,54,84,83,52
80,53,75,44,82,54,55,80,77,50
80,52,73,45,80,53,53,79,83,57
83,60,77,48,80,51,55,86,87,53
79,55,76,45,80,53,52,82,119,65
88,55,74,48,79,54,54,82,126,69
82,54,75,44,77,52,53,80,84,50
78,59,72,44,83,55,60,86,123,68
83,53,74,47,80,53,55,82,121,68
85,50,77,44,77,52,55,83,80,53
84,58,77,44,78,52,53,85,123,67
81,52,76,47,78,53,55,85,80,50
81,53,73,45,76,51,53,82,123,71
85,54,76,45,81,55,51,79,76,51
83,53,75,44,78,53,56,80,80,52
79,54,73,43,77,53,53,85,125,65
78,54,79,45,78,52,55,84,85,54
82,50,73,46,82,53,54,82,81,53
77,53,76,45,78,53,53,81,120,69
84,55,74,45,80,53,56,84,86,58
82,55,75,44,78,51,54,81,121,70
81,52,77,41,81,54,57,86,79,54
81,56,73,44,75,47,55,84,79,50
79,51,74,43,79,53,51,82,80,54
81,49,77,45,79,53,51,82,78,52
80,55,75,42,79,54,53,79,82,55
79,52,74,49,80,53,56,83,125,66
80,54,74,43,83,54,54,84,81,53
80,51,76,46,84,55,50,82,122,66
81,53,74,43,84,55,52,80,76,50
88,54,74,44,84,55,52,82,83,51
84,53,74,42,84,55,55,83,82,51
88,57,74,46,83,54,52,83,84,47
80,52,73,47,84,55,54,82,82,50
81,55,73,42,84,55,53,83,122,73
79,53,70,44,84,55,53,82,78,53
85,54,76,44,84,55,53,81,83,58
83,55,77,47,83,54,51,81,81,51
83,56,74,44,82,54,56,85,123,67
79,53,78,44,83,55,48,81,83,54
81,49,73,42,83,54,53,80,81,49
79,56,73,44,83,55,53,81,83,55
78,51,71,44,84,55,53,81,123,70
82,55,74,44,83,54,55,86,81,53
83,57,69,43,84,54,52,81,79,53
88,58,74,45,84,55,52,80,123,66
82,54,74,46,83,55,52,79,82,54
82,58,74,43,84,55,54,78,83,53
83,52,73,42,83,55,54,81,79,53
79,54,76,48,84,55,54,84,79,49
81,58,73,45,82,54,52,83,77,49
86,53,70,43,83,54,51,81,118,65
78,52,74,45,82,54,51,77,82,53
80,57,73,45,84,55,54,84,79,49
83,54,71,46,84,55,53,80,117,64
83,55,73,44,83,55,52,82,75,48
82,56,77,43,83,53,55,82,79,51
84,52,75,45,81,52,53,80,83,54
80,53,75,47,83,54,53,85,125,72
86,52,74,44,84,55,52,79,82,51
83,55,74,43,83,55,51,84,119,65
83,52,74,44,84,54,52,82,124,70
82,52,76,45,81,54,52,83,81,50
79,54,72,43,82,53,55,83,123,67
81,55,72,45,85,57,57,84,80,49
79,55,74,44,81,53,54,85,83,51
81,55,71,45,81,53,53,81,79,53
83,58,74,46,83,55,55,81,80,49
82,56,72,43,81,53,50,81,83,51
79,54,72,43,83,54,54,82,123,65
76,52,74,44,81,54,49,79,79,48
85,53,77,42,80,54,51,78,77,51
80,51,76,45,80,52,53,81,119,70
77,51,73,40,83,54,51,79,81,58
